"tract","yr_id","full_name","jobs"
"120.03","2010","Education and Healthcare","0"
"120.03","2010","Leisure and Hospitality","0"
"120.03","2010","Office Services","0"
"120.03","2010","Government","0"
"120.03","2010","Self-Employed","0"
"121.01","2010","Military","0"
"121.01","2010","Agriculture and Mining","0"
"121.01","2010","Construction","0"
"121.01","2010","Manufacturing","0"
"121.01","2010","Wholesale Trade","0"
"121.01","2010","Retail Trade","0"
"121.01","2010","Transporation, Warehousing, and Utilities","0"
"121.01","2010","Information","0"
"121.01","2010","Finance and Real Estate","0"
"121.01","2010","Professional and Business Services","0"
"121.01","2010","Education and Healthcare","0"
"121.01","2010","Leisure and Hospitality","0"
"121.01","2010","Office Services","0"
"121.01","2010","Government","0"
"121.01","2010","Self-Employed","0"
"121.02","2010","Military","0"
"121.02","2010","Agriculture and Mining","0"
"121.02","2010","Construction","0"
"121.02","2010","Manufacturing","0"
"121.02","2010","Wholesale Trade","0"
"121.02","2010","Retail Trade","0"
"121.02","2010","Transporation, Warehousing, and Utilities","0"
"121.02","2010","Information","0"
"121.02","2010","Finance and Real Estate","0"
"121.02","2010","Professional and Business Services","0"
"121.02","2010","Education and Healthcare","0"
"121.02","2010","Leisure and Hospitality","0"
"121.02","2010","Office Services","0"
"121.02","2010","Government","0"
"121.02","2010","Self-Employed","0"
"122","2010","Military","0"
"122","2010","Agriculture and Mining","0"
"122","2010","Construction","0"
"122","2010","Manufacturing","0"
"122","2010","Wholesale Trade","0"
"122","2010","Retail Trade","0"
"122","2010","Transporation, Warehousing, and Utilities","0"
"122","2010","Information","0"
"122","2010","Finance and Real Estate","0"
"122","2010","Professional and Business Services","0"
"122","2010","Education and Healthcare","0"
"122","2010","Leisure and Hospitality","0"
"122","2010","Office Services","0"
"122","2010","Government","0"
"122","2010","Self-Employed","0"
"123.02","2010","Military","0"
"123.02","2010","Agriculture and Mining","0"
"123.02","2010","Construction","0"
"123.02","2010","Manufacturing","0"
"123.02","2010","Wholesale Trade","0"
"123.02","2010","Retail Trade","0"
"123.02","2010","Transporation, Warehousing, and Utilities","0"
"123.02","2010","Information","0"
"123.02","2010","Finance and Real Estate","0"
"123.02","2010","Professional and Business Services","0"
"123.02","2010","Education and Healthcare","0"
"123.02","2010","Leisure and Hospitality","0"
"123.02","2010","Office Services","0"
"123.02","2010","Government","0"
"123.02","2010","Self-Employed","0"
"123.03","2010","Military","0"
"123.03","2010","Agriculture and Mining","0"
"123.03","2010","Construction","0"
"123.03","2010","Manufacturing","0"
"123.03","2010","Wholesale Trade","0"
"123.03","2010","Retail Trade","0"
"123.03","2010","Transporation, Warehousing, and Utilities","0"
"123.03","2010","Information","0"
